time	V(vout)
Step Information: Run=0  (Run: 1/65)
1.429303854605638e+000	3.299469e+000
1.429308622977220e+000	3.299453e+000
1.429318159720384e+000	3.299399e+000
1.429337233206712e+000	3.299229e+000
1.429342001578294e+000	3.299129e+000
1.429351538321458e+000	3.298762e+000
1.429352940323507e+000	3.298632e+000
1.429355744327604e+000	3.298174e+000
1.429356445328628e+000	3.297950e+000
1.429357847330677e+000	3.297226e+000
1.429358045352995e+000	3.297057e+000
1.429358441397630e+000	3.296512e+000
1.429358927810265e+000	3.295507e+000
1.429359179735839e+000	3.294614e+000
1.429359418834401e+000	3.293216e+000
1.429359561994855e+000	3.291834e+000
1.429359708323698e+000	3.289482e+000
1.429359830995727e+000	3.286119e+000
1.429359935516445e+000	3.281067e+000
1.429360024315664e+000	3.273444e+000
1.429360103241256e+000	3.261432e+000
1.429360178289664e+000	3.241124e+000
1.429360259675798e+000	3.203915e+000
1.429360338421823e+000	3.147396e+000
1.429360444637731e+000	3.043536e+000
1.429360556813776e+000	2.914270e+000
1.429360691003535e+000	2.748155e+000
1.429360860744416e+000	2.533171e+000
1.429361195898001e+000	2.105224e+000
1.429361866205172e+000	1.247283e+000
1.429362033781965e+000	1.033134e+000
1.429362368935550e+000	6.068384e-001
1.429362590681912e+000	3.283140e-001
1.429362731052621e+000	1.578718e-001
1.429362809821567e+000	7.015496e-002
1.429362853038245e+000	3.048762e-002
1.429362875908638e+000	1.617669e-002
1.429362898492265e+000	7.997678e-003
1.429362911676505e+000	5.344447e-003
1.429362925363295e+000	3.844033e-003
1.429362940809732e+000	2.815404e-003
1.429362958479097e+000	2.106132e-003
1.429362980959496e+000	1.572651e-003
1.429363009259243e+000	1.185558e-003
1.429363047765246e+000	8.943992e-004
1.429363099365178e+000	6.861052e-004
1.429363173006827e+000	5.346834e-004
1.429363281102851e+000	4.261169e-004
1.429363445556214e+000	3.494819e-004
1.429363707588121e+000	2.958357e-004
1.429364140373881e+000	2.591707e-004
1.429364895903881e+000	2.345211e-004
1.429366267146037e+000	2.186877e-004
1.429368926107079e+000	2.089744e-004
1.429384879873335e+000	2.012971e-004
1.429406151561676e+000	2.005773e-004
1.450020337615590e+000	1.991723e-004
1.469551587615590e+000	1.977645e-004
1.489082837615590e+000	1.964954e-004
1.508614087615590e+000	1.953515e-004
1.528145337615590e+000	1.943205e-004
1.547676587615590e+000	1.933912e-004
1.567207837615590e+000	1.925535e-004
1.586739087615590e+000	1.917985e-004
1.606270337615590e+000	1.911180e-004
1.625801587615590e+000	1.905046e-004
1.645332837615590e+000	1.899519e-004
1.664864087615590e+000	1.894541e-004
1.684395337615590e+000	1.890069e-004
1.703926587615590e+000	1.886077e-004
1.723457837615590e+000	1.882573e-004
1.742989087615590e+000	1.879623e-004
1.762520337615590e+000	1.877380e-004
1.782051587615590e+000	1.876140e-004
1.801582837615590e+000	1.876411e-004
1.821114087615590e+000	1.879100e-004
1.840645337615590e+000	1.886025e-004
1.860176587615590e+000	1.901438e-004
1.879707837615590e+000	1.944389e-004
1.889473462615590e+000	2.069926e-004
1.899239087615590e+000	2.599056e-004
1.900459790740590e+000	3.456032e-004
1.900764966521840e+000	4.407766e-004
1.900774503265004e+000	4.495067e-004
1.900793576751332e+000	4.848322e-004
1.900831723723989e+000	5.955566e-004
1.900841260467153e+000	6.635839e-004
1.900860333953481e+000	9.292157e-004
1.900864342080827e+000	1.036930e-003
